id,street_address_1,street_address_2,city,state,postal_code,user_id
1,3051 St Paul St,Unit B,Denver,COLORADO,80205,1
2,3051 St Paul St,Unit B,Denver,COLORADO,80205,2
3,3052 St Paul St,Unit B,Denver,COLORADO,80206,3
4,3053 St Paul St,Unit B,Denver,COLORADO,80207,4
5,3054 St Paul St,Unit B,Denver,COLORADO,80208,5
6,3055 St Paul St,Unit B,Denver,COLORADO,80209,6
7,3056 St Paul St,Unit B,Denver,COLORADO,80210,7
8,3057 St Paul St,Unit B,Denver,COLORADO,80211,8
9,3058 St Paul St,Unit B,Denver,COLORADO,80212,9
10,3059 St Paul St,Unit B,Denver,COLORADO,80213,10
11,3060 St Paul St,Unit B,Denver,COLORADO,80214,11
12,3061 St Paul St,Unit B,Denver,COLORADO,80215,12
13,3062 St Paul St,Unit B,Denver,COLORADO,80216,13
14,3063 St Paul St,Unit B,Denver,COLORADO,80217,14
15,3064 St Paul St,Unit B,Denver,COLORADO,80218,15
16,3065 St Paul St,Unit B,Denver,COLORADO,80219,16
17,3066 St Paul St,Unit B,Denver,COLORADO,80220,17
18,3067 St Paul St,Unit B,Denver,COLORADO,80221,18
19,3068 St Paul St,Unit B,Denver,COLORADO,80222,19
20,3069 St Paul St,Unit B,Denver,COLORADO,80223,20
21,3070 St Paul St,Unit B,Denver,COLORADO,80224,21
22,3071 St Paul St,Unit B,Denver,COLORADO,80225,22
23,3072 St Paul St,Unit B,Denver,COLORADO,80226,23
24,3073 St Paul St,Unit B,Denver,COLORADO,80227,24
25,3074 St Paul St,Unit B,Denver,COLORADO,80228,25
26,3075 St Paul St,Unit B,Denver,COLORADO,80229,26
27,3076 St Paul St,Unit B,Denver,COLORADO,80230,27
28,3077 St Paul St,Unit B,Denver,COLORADO,80231,28
29,3078 St Paul St,Unit B,Denver,COLORADO,80232,29
30,3079 St Paul St,Unit B,Denver,COLORADO,80233,30
31,3080 St Paul St,Unit B,Denver,COLORADO,80234,31
32,3081 St Paul St,Unit B,Denver,COLORADO,80235,32
33,3082 St Paul St,Unit B,Denver,COLORADO,80236,33
34,3083 St Paul St,Unit B,Denver,COLORADO,80237,34
35,3084 St Paul St,Unit B,Denver,COLORADO,80238,35
36,3085 St Paul St,Unit B,Denver,COLORADO,80239,36
37,3086 St Paul St,Unit B,Denver,COLORADO,80240,37
38,3087 St Paul St,Unit B,Denver,COLORADO,80241,38
39,3088 St Paul St,Unit B,Denver,COLORADO,80242,39
40,3089 St Paul St,Unit B,Denver,COLORADO,80243,40
41,3090 St Paul St,Unit B,Denver,COLORADO,80244,41
42,3091 St Paul St,Unit B,Denver,COLORADO,80245,42
43,3092 St Paul St,Unit B,Denver,COLORADO,80246,43
44,3093 St Paul St,Unit B,Denver,COLORADO,80247,44
45,3094 St Paul St,Unit B,Denver,COLORADO,80248,45
46,3095 St Paul St,Unit B,Denver,COLORADO,80249,46
47,3096 St Paul St,Unit B,Denver,COLORADO,80250,47
48,3097 St Paul St,Unit B,Denver,COLORADO,80251,48
49,3098 St Paul St,Unit B,Denver,COLORADO,80252,49
50,3099 St Paul St,Unit B,Denver,COLORADO,80253,50
51,3100 St Paul St,Unit B,Denver,COLORADO,80254,51
52,3101 St Paul St,Unit B,Denver,COLORADO,80255,52
53,3102 St Paul St,Unit B,Denver,COLORADO,80256,53
54,3103 St Paul St,Unit B,Denver,COLORADO,80257,54
55,3104 St Paul St,Unit B,Denver,COLORADO,80258,55
56,3105 St Paul St,Unit B,Denver,COLORADO,80259,56
57,3106 St Paul St,Unit B,Denver,COLORADO,80260,57
58,3107 St Paul St,Unit B,Denver,COLORADO,80261,58
59,3108 St Paul St,Unit B,Denver,COLORADO,80262,59
60,3109 St Paul St,Unit B,Denver,COLORADO,80263,60
61,3110 St Paul St,Unit B,Denver,COLORADO,80264,61
62,3111 St Paul St,Unit B,Denver,COLORADO,80265,62
63,3112 St Paul St,Unit B,Denver,COLORADO,80266,63
64,3113 St Paul St,Unit B,Denver,COLORADO,80267,64
65,3114 St Paul St,Unit B,Denver,COLORADO,80268,65
66,3115 St Paul St,Unit B,Denver,COLORADO,80269,66
67,3116 St Paul St,Unit B,Denver,COLORADO,80270,67
68,3117 St Paul St,Unit B,Denver,COLORADO,80271,68
69,3118 St Paul St,Unit B,Denver,COLORADO,80272,69
70,3119 St Paul St,Unit B,Denver,COLORADO,80273,70
71,3120 St Paul St,Unit B,Denver,COLORADO,80274,71
72,3121 St Paul St,Unit B,Denver,COLORADO,80275,72
73,3122 St Paul St,Unit B,Denver,COLORADO,80276,73
74,3123 St Paul St,Unit B,Denver,COLORADO,80277,74
75,3124 St Paul St,Unit B,Denver,COLORADO,80278,75
76,3125 St Paul St,Unit B,Denver,COLORADO,80279,76
77,3126 St Paul St,Unit B,Denver,COLORADO,80280,77
78,3127 St Paul St,Unit B,Denver,COLORADO,80281,78
79,3128 St Paul St,Unit B,Denver,COLORADO,80282,79
80,3129 St Paul St,Unit B,Denver,COLORADO,80283,80
81,3130 St Paul St,Unit B,Denver,COLORADO,80284,81
82,3131 St Paul St,Unit B,Denver,COLORADO,80285,82
83,3132 St Paul St,Unit B,Denver,COLORADO,80286,83
84,3133 St Paul St,Unit B,Denver,COLORADO,80287,84
85,3134 St Paul St,Unit B,Denver,COLORADO,80288,85
86,3135 St Paul St,Unit B,Denver,COLORADO,80289,86
87,3136 St Paul St,Unit B,Denver,COLORADO,80290,87
88,3137 St Paul St,Unit B,Denver,COLORADO,80291,88
89,3138 St Paul St,Unit B,Denver,COLORADO,80292,89
90,3139 St Paul St,Unit B,Denver,COLORADO,80293,90
91,3140 St Paul St,Unit B,Denver,COLORADO,80294,91
92,3141 St Paul St,Unit B,Denver,COLORADO,80295,92
93,3142 St Paul St,Unit B,Denver,COLORADO,80296,93
94,3143 St Paul St,Unit B,Denver,COLORADO,80297,94
95,3144 St Paul St,Unit B,Denver,COLORADO,80298,95
96,3145 St Paul St,Unit B,Denver,COLORADO,80299,96
