id,login,password_hash,first_name,last_name,authority,email,phone_number,notes,organization_id,org_role,fourteen_plus,guardian_first_name,guardian_last_name,guardian_email,guardian_phone,school,grade_level,state_student_id,org_student_id,created_by,created_date,last_modified_by,last_modified_date
1,asanchez,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Alecia,Sanchez,ROLE_INSTRUCTOR,sanchez1606@yahoo.com,(720) 891-1367,"Mrs. Sanchez is a local engineer working for Lockheed Martin with over a decade of experience. She is also an editor of the AIAA's \"Aerospace America\" publication.",3,null,null,null,null,null,null,null,null,null,null,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
2,jhubbard,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Jennie,Hubbard,ROLE_INSTRUCTOR,Jennie.Hubbard@outlook.com,(720) 528-7328,,3,null,null,null,null,null,null,null,null,null,null,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
3,scarr,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Sara,Carr,ROLE_INSTRUCTOR,scarr@gmail.com,(720) 680-3422,,3,null,null,null,null,null,null,null,null,null,null,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
4,bgallegos,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Betty,Gallegos,ROLE_INSTRUCTOR,bgallegos@gmail.com,(720) 520-5048,,3,null,null,null,null,null,null,null,null,null,null,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
5,cmartin,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Cari,Martin,ROLE_INSTRUCTOR,cmartin@outlook.com,(303) 968-1762,,3,null,null,null,null,null,null,null,null,null,null,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
6,jemfinger,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Judy,Emfinger,ROLE_INSTRUCTOR,Judy.Emfinger@yahoo.com,(303) 860-9736,,3,null,null,null,null,null,null,null,null,null,null,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
7,amckendrick,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Amber,Mckendrick,ROLE_INSTRUCTOR,amckendrick@icloud.com,(720) 372-8192,,3,null,null,null,null,null,null,null,null,null,null,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
8,rkerfoot,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Robert,Kerfoot,ROLE_STUDENT,null,(303) 786-4880,,3,null,0,Eric,Kerfoot,ekerfoot@aol.com,(303) 504-3567,Kepner Beacon Middle School,SEVENTH,036240881,587710,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
9,jclanton,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Jaime,Clanton,ROLE_STUDENT,null,(720) 849-8126,,3,null,0,Isabelle,Clanton,Isabelle.Clanton@outlook.com,(720) 086-3025,Morey Middle School,EIGHTH,673897875,993389,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
10,rglavin,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Rachel,Glavin,ROLE_STUDENT,glavin3968@gmail.com,(303) 578-8770,,3,null,1,Julia,Glavin,glavin5864@outlook.com,(720) 340-8508,Bruce Randolph High School,ELEVENTH,454951454,115789,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
11,mchapman,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Melanie,Chapman,ROLE_STUDENT,null,(720) 167-7999,,3,null,0,Patricia,Chapman,chapman5980@aol.com,(720) 399-2564,Merrill Middle School,SIXTH,235618139,697729,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
12,jbuchannan,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,John,Buchannan,ROLE_STUDENT,null,(720) 623-7639,,3,null,0,Mary,Buchannan,mbuchannan@yahoo.com,(720) 891-0701,Byers Middle School,SEVENTH,006369537,406013,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
13,jmcguffie,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Jacob,Mcguffie,ROLE_STUDENT,jmcguffie@outlook.com,(720) 329-9453,,3,null,1,Robert,Torrez,Robert.Torrez@gmail.com,(303) 809-3717,Compassion Road Academy,TWELFTH,795945166,304119,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
14,raluise,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Richard,Aluise,ROLE_STUDENT,raluise@gmail.com,(720) 793-7906,,3,null,1,Louella,Aluise,Louella.Aluise@gmail.com,(720) 311-3232,North High School,ELEVENTH,366635523,945841,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
15,jthompson,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Joseph,Thompson,ROLE_STUDENT,null,(720) 470-5807,,3,null,0,Isidra,Thompson,Isidra.Thompson@gmail.com,(303) 642-5699,Skinner Middle School,SEVENTH,246736954,090184,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
16,canderson,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Carly,Anderson,ROLE_STUDENT,canderson@gmail.com,(303) 210-0708,,3,null,1,Heath,Anderson,handerson@sbcglobal.net,(303) 252-4234,Compassion Road Academy,TENTH,817578333,191566,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
17,jturnage,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Joseph,Turnage,ROLE_STUDENT,Joseph.Turnage@yahoo.com,(303) 878-6281,,3,null,1,Michael,Turnage,Michael.Turnage@gmail.com,(720) 499-9875,Compassion Road Academy,ELEVENTH,151075857,480995,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
18,jhatton,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Joseph,Hatton,ROLE_STUDENT,jhatton@sbcglobal.net,(720) 175-5571,,3,null,1,John,Hatton,jhatton@yahoo.com,(720) 982-0449,Dr. Martin Luther King Jr. Early College High School,ELEVENTH,732649457,642171,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
19,mscherman,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Malissa,Scherman,ROLE_STUDENT,null,(303) 971-1466,,3,null,0,Ruth,Hatton,rhatton@sbcglobal.net,(720) 198-8012,Merrill Middle School,EIGHTH,961899997,142611,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
20,bprewitt,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Brandon,Prewitt,ROLE_STUDENT,null,(303) 579-8124,,3,null,0,Justin,Prewitt,jprewitt@gmail.com,(303) 277-4515,Vista Academy Middle School,EIGHTH,296352774,896114,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
21,elarios,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Ernest,Larios,ROLE_STUDENT,Ernest.Larios@aol.com,(720) 134-3300,,3,null,1,Edith,Larios,elarios@aol.com,(720) 016-6678,George Washington High School,TENTH,755639283,951062,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
22,rgrabinski,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Raymond,Grabinski,ROLE_STUDENT,null,(720) 812-9634,,3,null,0,Tim,Grabinski,grabinski965@gmail.com,(720) 564-4699,Merrill Middle School,SEVENTH,608888324,521758,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
23,lvasquez,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Lisa,Vasquez,ROLE_STUDENT,Lisa.Vasquez@sbcglobal.net,(303) 607-2619,,3,null,1,James,Vasquez,James.Vasquez@aol.com,(303) 713-9060,Dr. Martin Luther King Jr. Early College High School,TENTH,136734440,995020,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
24,lguin,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Lucy,Guin,ROLE_STUDENT,Lucy.Guin@sbcglobal.net,(720) 312-3062,,3,null,1,Donald,Guin,Donald.Guin@outlook.com,(720) 040-2458,North High School,TWELFTH,011793004,976639,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
25,fperlman,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Felicia,Perlman,ROLE_STUDENT,Felicia.Perlman@icloud.com,(720) 684-0118,,3,null,1,Anthony,Perlman,Anthony.Perlman@yahoo.com,(720) 183-2316,Florence Crittenton High School,TENTH,633648081,941877,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
26,sryan,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Stephen,Ryan,ROLE_STUDENT,sryan@gmail.com,(720) 148-9066,,3,null,1,Kevin,Ryan,Kevin.Ryan@gmail.com,(303) 805-4578,Dr. Martin Luther King Jr. Early College High School,NINTH,730407255,255769,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
27,rthomas,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Robert,Thomas,ROLE_STUDENT,rthomas@yahoo.com,(720) 667-9267,,3,null,1,Bobby,Thomas,bthomas@yahoo.com,(303) 133-2237,East High School,NINTH,734262231,461909,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
28,bbrantley,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Brett,Brantley,ROLE_STUDENT,null,(303) 496-2259,,3,null,0,William,Brantley,wbrantley@aol.com,(720) 300-0679,Kepner Beacon Middle School,SEVENTH,144916072,022001,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
29,dkim,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,David,Kim,ROLE_STUDENT,null,(303) 319-9904,,3,null,0,William,Kim,kim6475@icloud.com,(303) 631-9175,Morey Middle School,SIXTH,550021530,804435,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
30,cstewart,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Cindy,Stewart,ROLE_STUDENT,null,(303) 113-4300,,3,null,0,Irene,Stewart,Irene.Stewart@gmail.com,(303) 456-9946,Bruce Randolph Middle School,SIXTH,868427706,820844,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
31,tragan,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Tony,Ragan,ROLE_STUDENT,tragan@gmail.com,(303) 983-5985,,3,null,1,Roberto,Ragan,Roberto.Ragan@gmail.com,(720) 484-6793,Bruce Randolph High School,ELEVENTH,100435116,091962,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
32,jhaigh,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Julie,Haigh,ROLE_STUDENT,null,(303) 501-5380,,3,null,0,Margaret,Haigh,Margaret.Haigh@gmail.com,(720) 881-3155,"Dr. Martin Luther King, Jr. Early College Middle School",SIXTH,468710076,500295,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
33,afifield,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Alicia,Fifield,ROLE_STUDENT,afifield@aol.com,(720) 054-1510,,3,null,1,Patty,Fifield,pfifield@gmail.com,(720) 053-9927,Compassion Road Academy,TENTH,459957551,824465,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
